,r2,mse,f,n_attributes,trial,method
0,0.7982565453366158,1.1383577113261225,GP,1000,0,PCA
1,0.8708384507347894,0.7294685120693588,GP,1000,0,kernel PCA
2,0.9114314988676222,0.501365784362595,GP,1000,0,Laplacian eigenmaps
3,0.8605151391016025,0.789147546959775,GP,1000,0,IKD
4,0.9936802808019761,0.03580592178374737,GP,1000,0,IKD-b
5,0.7877537650549522,1.1972541512843835,GP,1000,1,PCA
6,0.8819978239232397,0.6645353399018287,GP,1000,1,IKD
7,0.9945937259471899,0.029741790356046783,GP,1000,1,IKD-b
10,0.9978725391458445,0.012423209319085637,GP,1000,2,IKD-b
11,0.8590631526890175,0.8270377876784104,GP,1000,2,kernel PCA
12,0.8907508116389288,0.5842038667473838,GP,1000,3,IKD
9,0.8623654184499144,0.7998666905868955,GP,1000,2,IKD
15,0.7816459277973756,1.3733045226549245,GP,1000,4,IKD
16,0.997063094546539,0.018259021798621516,GP,1000,4,IKD-b
17,0.9187777257332465,0.44138872593495093,GP,1000,3,Laplacian eigenmaps
13,0.9980397093179195,0.010450425922071863,GP,1000,3,IKD-b
20,0.7675070860179453,1.4428943615956447,GP,1000,4,PCA
21,0.873215139033662,0.7099149889650035,GP,1000,6,IKD
22,0.9987505377087885,0.007107545222934629,GP,1000,6,IKD-b
25,0.9978286944493767,0.012375153917484972,GP,1000,7,IKD-b
26,0.8510749694560845,0.8228946109871567,GP,1000,5,kernel PCA
27,0.8952884963498239,0.6217886868891579,GP,1000,8,IKD
18,0.7252579970719992,1.448907624337697,GP,1000,5,IKD
19,0.9950626097250409,0.0267552956161925,GP,1000,5,IKD-b
30,0.8238888019509867,1.0862371404475875,GP,1000,9,IKD
31,0.9954649472374518,0.028082868618880572,GP,1000,9,IKD-b
32,0.9008982259034545,0.563285189997564,GP,1000,6,Laplacian eigenmaps
35,0.8091302721699569,1.0851691138322193,GP,1000,7,PCA
36,0.8053701043297478,1.094959006282736,GP,1000,11,IKD
37,0.9988335659434334,0.0067279435619611305,GP,1000,11,IKD-b
24,0.8592974448003513,0.7888525530676499,GP,1000,7,IKD
40,0.9941304252277615,0.03165209389795547,GP,1000,12,IKD-b
41,0.8735047065880437,0.7483138263037598,GP,1000,8,kernel PCA
42,0.8281558829053219,0.9770274716924686,GP,1000,13,IKD
28,0.998796311708762,0.007088588526773236,GP,1000,8,IKD-b
45,0.8674054131990996,0.752033314515632,GP,1000,14,IKD
46,0.9890768554415965,0.06211992930011336,GP,1000,14,IKD-b
47,0.9247830274098127,0.46496919720108565,GP,1000,9,Laplacian eigenmaps
50,0.7825225274927908,1.2054465877160914,GP,1000,10,PCA
51,0.8927010914328758,0.6354146184399042,GP,1000,16,IKD
52,0.9980647106668328,0.011523504361891338,GP,1000,16,IKD-b
33,0.8090053837950334,1.0515679782224288,GP,1000,10,IKD
34,0.9933595474473617,0.03629389227581113,GP,1000,10,IKD-b
55,0.9984019596728557,0.00943464894180752,GP,1000,17,IKD-b
56,0.8651045617644915,0.7793600065758522,GP,1000,11,kernel PCA
57,0.8876086896099787,0.6385552325874084,GP,1000,18,IKD
60,0.9155166740459624,0.4992197987634051,GP,1000,19,IKD
61,0.9969635357200763,0.017550348515385065,GP,1000,19,IKD-b
62,0.9221742662809237,0.4216991392878064,GP,1000,12,Laplacian eigenmaps
39,0.8517291088113007,0.8472710018934548,GP,1000,12,IKD
65,0.8031181408686346,1.146582840234596,GP,1000,13,PCA
66,0.7987346237564924,1.115233516434279,GP,1000,21,IKD
67,0.9959775416773226,0.022646817899559024,GP,1000,21,IKD-b
43,0.9966443719833373,0.01940854404524254,GP,1000,13,IKD-b
70,0.9974754136196866,0.013481648639529442,GP,1000,22,IKD-b
71,0.8909606404544674,0.6196188155508401,GP,1000,14,kernel PCA
72,0.8521627634274086,0.9210219086147365,GP,1000,23,IKD
75,0.8134711244722314,1.1369725983924428,GP,1000,24,IKD
76,0.9984829033322763,0.009226864953126952,GP,1000,24,IKD-b
77,0.9296585362909296,0.3911911776259404,GP,1000,15,Laplacian eigenmaps
48,0.8882079411271486,0.6229302983276122,GP,1000,15,IKD
49,0.9988320450089102,0.0064604573719832395,GP,1000,15,IKD-b
80,0.8024315228706939,1.1770212064477612,GP,1000,16,PCA
81,0.8984958736359591,0.6737569236914144,GP,1000,26,IKD
82,0.9967749621065831,0.021324338755113987,GP,1000,26,IKD-b
85,0.9981392534224699,0.010271567333438595,GP,1000,27,IKD-b
86,0.8501491008297739,0.897469109718153,GP,1000,17,kernel PCA
87,0.7250108773441827,1.5745185998587725,GP,1000,28,IKD
54,0.7971639321977101,1.1924295712556463,GP,1000,17,IKD
90,0.8508755163180561,0.8188717220778408,GP,1000,29,IKD
91,0.9891275211816272,0.05999636092798907,GP,1000,29,IKD-b
92,0.9229949871349197,0.43745063083257446,GP,1000,18,Laplacian eigenmaps
58,0.9990287539843205,0.005477042520695727,GP,1000,18,IKD-b
95,0.7967106329333474,1.1797181811054838,GP,1000,19,PCA
96,0.8725721851845561,0.7072629440050945,GP,1000,31,IKD
97,0.9974268784795481,0.014354074119163998,GP,1000,31,IKD-b
100,0.9970150588798945,0.017131849275916173,GP,1000,32,IKD-b
101,0.8605823110186175,0.8902596692660637,GP,1000,20,kernel PCA
102,0.8663364137934592,0.7116957390707669,GP,1000,33,IKD
63,0.8091799139190766,1.2142779157225814,GP,1000,20,IKD
64,0.9951452759794703,0.031390288974789786,GP,1000,20,IKD-b
105,0.8511404528012992,0.8391898704104231,GP,1000,34,IKD
106,0.9885097890500995,0.06295610916507216,GP,1000,34,IKD-b
107,0.9042235856091377,0.5285682664559501,GP,1000,21,Laplacian eigenmaps
110,0.7859588004753645,1.175776171363669,GP,1000,22,PCA
111,0.8660445836833007,0.7374414010684526,GP,1000,36,IKD
112,0.9933619553677994,0.03603837552705847,GP,1000,36,IKD-b
69,0.8819736092458846,0.64692896894617,GP,1000,22,IKD
115,0.9967757529452506,0.0191441538728466,GP,1000,37,IKD-b
116,0.8483110044430283,0.9663142939216173,GP,1000,23,kernel PCA
117,0.9076113831135769,0.5259418941391,GP,1000,38,IKD
73,0.9966177583009127,0.021391373945418336,GP,1000,23,IKD-b
120,0.8789089305869923,0.6956772914158407,GP,1000,39,IKD
121,0.997990231560402,0.01127248166895623,GP,1000,39,IKD-b
122,0.9130655744434678,0.5310117140850933,GP,1000,24,Laplacian eigenmaps
125,0.7943678321925378,1.1426337487173601,GP,1000,25,PCA
126,0.8517399298522254,0.8115014711515433,GP,1000,41,IKD
127,0.9958111547958519,0.022997625965317098,GP,1000,41,IKD-b
78,0.906938523802313,0.5201038232464573,GP,1000,25,IKD
