,r2,mse,f,n_attributes,trial,method
0,0.12627940118807562,4.82220385547033,Gaussian bump,20,0,PCA
1,0.3506935807632792,3.5886522456999095,Gaussian bump,20,0,kernel PCA
2,0.27292050001618157,4.015761764561929,Gaussian bump,20,0,Laplacian eigenmaps
3,0.4908749505284563,2.793169783292187,Gaussian bump,20,0,IKD
4,0.3510945424672285,3.5510396561275845,Gaussian bump,20,0,IKD-b
5,0.2033046554165454,4.394725930590128,Gaussian bump,20,1,PCA
6,0.5507907902070568,2.440931167625325,Gaussian bump,20,1,IKD
7,0.7149407723294383,1.5297621704903128,Gaussian bump,20,1,IKD-b
10,0.6917404789840527,1.7165616073310979,Gaussian bump,20,2,IKD-b
11,0.5050133286397159,2.7561498290276125,Gaussian bump,20,2,kernel PCA
12,0.5586450404783228,2.4527129378652335,Gaussian bump,20,3,IKD
9,0.4343006075015768,3.1415718830359376,Gaussian bump,20,2,IKD
15,0.3929273168437453,3.6554799626800336,Gaussian bump,20,4,IKD
16,0.7680146057851704,1.389226054282129,Gaussian bump,20,4,IKD-b
17,0.5762347874829264,2.4217957266141688,Gaussian bump,20,3,Laplacian eigenmaps
13,0.8258717483318367,0.9693269679821894,Gaussian bump,20,3,IKD-b
20,0.1808221185693739,4.99143386063524,Gaussian bump,20,4,PCA
21,0.6295642829871619,2.270904704847526,Gaussian bump,20,6,IKD
22,0.691181446509832,1.9030134205100784,Gaussian bump,20,6,IKD-b
25,0.7342503155092188,1.5083300015337486,Gaussian bump,20,7,IKD-b
26,0.666497210746828,1.7052759963088107,Gaussian bump,20,5,kernel PCA
27,0.5582608763214802,2.400703972126106,Gaussian bump,20,8,IKD
18,0.6541039325720066,1.7626454309023323,Gaussian bump,20,5,IKD
19,0.7586635735952247,1.2347617827014599,Gaussian bump,20,5,IKD-b
30,0.5763738516079585,2.59513191951532,Gaussian bump,20,9,IKD
31,0.5293429168201613,2.9108001982638054,Gaussian bump,20,9,IKD-b
32,0.4446779906019472,3.3988684721378926,Gaussian bump,20,6,Laplacian eigenmaps
35,0.2453120699006366,4.267358925808374,Gaussian bump,20,7,PCA
36,0.5228484239994238,2.628062101696254,Gaussian bump,20,11,IKD
37,0.4188099639746464,3.0664183184763565,Gaussian bump,20,11,IKD-b
24,0.569093196701849,2.3336508654707937,Gaussian bump,20,7,IKD
40,0.36902317126923717,3.584222420455826,Gaussian bump,20,12,IKD-b
41,0.6148074838509208,2.0706448872303014,Gaussian bump,20,8,kernel PCA
42,0.3403883620875123,3.6127314176437744,Gaussian bump,20,13,IKD
28,0.3417048986877414,3.775956994801378,Gaussian bump,20,8,IKD-b
45,0.5261036089653208,2.640645820957568,Gaussian bump,20,14,IKD
46,0.3045855207654075,3.8030160259276626,Gaussian bump,20,14,IKD-b
47,0.46599390769909543,3.27414467335441,Gaussian bump,20,9,Laplacian eigenmaps
50,0.40346886796380765,3.1462599421785438,Gaussian bump,20,10,PCA
51,0.5979044171478447,2.4456727237190847,Gaussian bump,20,16,IKD
52,0.6969802161806531,1.809603276506044,Gaussian bump,20,16,IKD-b
33,0.5879308104205703,2.2154171057450025,Gaussian bump,20,10,IKD
34,0.38495205407754196,3.118246929000378,Gaussian bump,20,10,IKD-b
55,0.524484181221111,2.861847991835177,Gaussian bump,20,17,IKD-b
56,0.5987107702194051,2.1848992840761117,Gaussian bump,20,11,kernel PCA
57,0.5413865585299511,2.5232746698332456,Gaussian bump,20,18,IKD
60,0.5073870000652528,2.7301797779935737,Gaussian bump,20,19,IKD
61,0.6299904854141392,2.0597104268280235,Gaussian bump,20,19,IKD-b
62,0.5006274908497728,2.718202925634725,Gaussian bump,20,12,Laplacian eigenmaps
39,0.636776301187937,2.084123250279125,Gaussian bump,20,12,IKD
65,0.1890685732467261,4.45272781054927,Gaussian bump,20,13,PCA
66,0.6233457190860823,1.930139745727716,Gaussian bump,20,21,IKD
67,0.5796231708930157,2.1674988573727125,Gaussian bump,20,21,IKD-b
43,0.4610543302803713,2.8449160928694774,Gaussian bump,20,13,IKD-b
70,0.28925754017876715,3.66122228761234,Gaussian bump,20,22,IKD-b
71,0.3411431179244952,3.6087575232653695,Gaussian bump,20,14,kernel PCA
72,0.6239585699934609,2.328092263183896,Gaussian bump,20,23,IKD
75,0.6013116591743535,2.386006886847911,Gaussian bump,20,24,IKD
76,0.8297139529977144,1.0150476860384354,Gaussian bump,20,24,IKD-b
77,0.5004841058244927,2.860032657854379,Gaussian bump,20,15,Laplacian eigenmaps
48,0.6256584508520251,2.1222709700477207,Gaussian bump,20,15,IKD
49,0.7770479464163147,1.266482559422046,Gaussian bump,20,15,IKD-b
80,0.44246486471364643,3.3655691982936737,Gaussian bump,20,16,PCA
81,0.5268856634071819,3.2353211298544733,Gaussian bump,20,26,IKD
82,0.7314076563657673,1.8711314684877525,Gaussian bump,20,26,IKD-b
85,0.3276127189576723,3.7627872478486983,Gaussian bump,20,27,IKD-b
86,0.40011777169581036,3.6333244219428926,Gaussian bump,20,17,kernel PCA
87,0.5491816557676253,2.7507626226577107,Gaussian bump,20,28,IKD
54,0.5416460039975441,2.804579190857605,Gaussian bump,20,17,IKD
90,0.42235080798125146,3.504238579316864,Gaussian bump,20,29,IKD
91,0.734338520559515,1.4544666524831813,Gaussian bump,20,29,IKD-b
92,0.5346504239813494,2.5581952072735623,Gaussian bump,20,18,Laplacian eigenmaps
58,0.460070231628919,2.963600272108436,Gaussian bump,20,18,IKD-b
95,0.1338444459648725,4.797673318283438,Gaussian bump,20,19,PCA
96,0.5922836733547228,2.2271689356337703,Gaussian bump,20,31,IKD
97,0.618187402114381,2.0987923100188777,Gaussian bump,20,31,IKD-b
100,0.8636778658871558,0.8202432448445739,Gaussian bump,20,32,IKD-b
101,0.5841144739652193,2.6905438803952304,Gaussian bump,20,20,kernel PCA
102,0.6060090733288064,2.0855667895704904,Gaussian bump,20,33,IKD
63,0.44216711655753926,3.683804324833086,Gaussian bump,20,20,IKD
64,0.5524883108793373,2.8564957796059316,Gaussian bump,20,20,IKD-b
105,0.4998986205019771,2.6135828737002966,Gaussian bump,20,34,IKD
106,0.6765251675812334,1.6739239445493288,Gaussian bump,20,34,IKD-b
107,0.4316482877230794,2.8988244727324366,Gaussian bump,20,21,Laplacian eigenmaps
110,0.20457731978801674,4.1662063388987916,Gaussian bump,20,22,PCA
111,0.43932367912608017,2.8128427830334415,Gaussian bump,20,36,IKD
112,0.8155598391785157,0.9986829642996753,Gaussian bump,20,36,IKD-b
69,0.4059459324869745,2.8662386193201748,Gaussian bump,20,22,IKD
115,0.7932462232077447,1.1941782717591036,Gaussian bump,20,37,IKD-b
116,0.5931041612621644,2.4988408725114155,Gaussian bump,20,23,kernel PCA
117,0.4571865076743898,3.1010144451705175,Gaussian bump,20,38,IKD
73,0.3821723755469031,3.884607636419199,Gaussian bump,20,23,IKD-b
120,0.4370580501534217,3.0020842253053486,Gaussian bump,20,39,IKD
121,0.7333268895651954,1.4141474081819927,Gaussian bump,20,39,IKD-b
122,0.4979726524189325,2.991123796493663,Gaussian bump,20,24,Laplacian eigenmaps
125,0.20895367932075565,4.225733929467573,Gaussian bump,20,25,PCA
126,0.6115625896831194,2.148003918706884,Gaussian bump,20,41,IKD
127,0.4306636222064321,3.084098700112543,Gaussian bump,20,41,IKD-b
78,0.5985583875088507,2.172954005931917,Gaussian bump,20,25,IKD
79,0.3391146289858461,3.5282791263418773,Gaussian bump,20,25,IKD-b
130,0.44567104291660986,2.806474858488528,Gaussian bump,20,42,IKD-b
131,0.5038800268289984,3.3968906456363035,Gaussian bump,20,26,kernel PCA
132,0.5376853728636863,2.5222047266690777,Gaussian bump,20,43,IKD
135,0.47163684804561595,2.7824746845782196,Gaussian bump,20,44,IKD
136,0.41820161508213666,3.064188608495589,Gaussian bump,20,44,IKD-b
137,0.26207212604426555,4.118056733430802,Gaussian bump,20,27,Laplacian eigenmaps
84,0.3799707728393813,3.472783845058624,Gaussian bump,20,27,IKD
140,0.18152105979871547,5.07770327335084,Gaussian bump,20,28,PCA
141,0.5411483818022181,2.478884098259596,Gaussian bump,20,46,IKD
142,0.763777325249105,1.2857674710766203,Gaussian bump,20,46,IKD-b
88,0.8216707233876981,1.1076101051626341,Gaussian bump,20,28,IKD-b
