,r2,mse,f,n_attributes,trial,method
0,0.5691668648505461,2.2978069521967317,sin,1000,0,PCA
1,0.5633325260437165,2.328923835226524,sin,1000,0,kernel PCA
2,0.8665940438594661,0.7115077937954641,sin,1000,0,Laplacian eigenmaps
3,0.04491873675176539,5.093833755018255,sin,1000,0,IKD
4,0.994549384975723,0.029070329263757917,sin,1000,0,IKD-b
5,0.5734872054158118,2.0436081359417893,sin,1000,1,PCA
6,0.4708073935494651,2.5355917331316724,sin,1000,1,IKD
7,0.9921992568019845,0.037376750400650124,sin,1000,1,IKD-b
10,0.9923442550676657,0.043390163985047296,sin,1000,2,IKD-b
11,0.5427377312961911,2.5916073482849615,sin,1000,2,kernel PCA
12,0.28208179561752666,4.425346441716559,sin,1000,3,IKD
9,0.32937366823844294,3.8008824438397455,sin,1000,2,IKD
15,0.37872278538248494,3.5905112147777882,sin,1000,4,IKD
16,0.9950917048874747,0.028366224017744926,sin,1000,4,IKD-b
17,0.8761267560289941,0.7635716939404035,sin,1000,3,Laplacian eigenmaps
13,0.9906714100831758,0.05750270983887417,sin,1000,3,IKD-b
20,0.48668414890035583,2.9665763957417113,sin,1000,4,PCA
21,0.14067131448122372,5.0661579473507,sin,1000,6,IKD
22,0.9934520628068708,0.0386032546204347,sin,1000,6,IKD-b
25,0.9945935629889814,0.02629451689295511,sin,1000,7,IKD-b
26,0.5156453869507867,2.524662452443013,sin,1000,5,kernel PCA
27,0.10697795432009716,5.518891243557976,sin,1000,8,IKD
18,0.24247015312916909,3.948568072800352,sin,1000,5,IKD
19,0.9932127592201553,0.0353779885458074,sin,1000,5,IKD-b
30,0.27315481569341316,4.346962548295106,sin,1000,9,IKD
31,0.9908231357202667,0.054883056524401896,sin,1000,9,IKD-b
32,0.8355660451686671,0.9694176409113501,sin,1000,6,Laplacian eigenmaps
35,0.5897205458232793,1.9954176876000465,sin,1000,7,PCA
36,0.5335583044304328,2.361708208336539,sin,1000,11,IKD
37,0.9957865490114016,0.0213337312674104,sin,1000,11,IKD-b
24,0.25594515925857564,3.6187534487660824,sin,1000,7,IKD
40,0.9923731488731067,0.03912604333316353,sin,1000,12,IKD-b
41,0.5405876484677063,2.83917604981811,sin,1000,8,kernel PCA
42,0.3819438592720331,3.656563309620141,sin,1000,13,IKD
28,0.9944498195999998,0.034300208105621566,sin,1000,8,IKD-b
