,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.7079821841731313,0.6650606484801501,0.045423148950553216,0.008564429326654811,5000,0,pca,1,gamma-exponential
1,0.5962951915369827,0.17997448907195157,0.08753511668466114,0.020968126027977513,5000,0,full,1,gamma-exponential
2,0.9895471598721296,0.9869570455941128,0.001836981555808465,0.000333509516612837,5000,0,block,1,gamma-exponential
3,0.7102404463101412,0.6866617498066137,0.044974978274132195,0.007993101076626031,5000,1,pca,1,gamma-exponential
4,0.6409917795969671,0.00012658697968526145,0.09099867032125886,0.025506267585173086,5000,1,full,1,gamma-exponential
5,0.9930046830146971,0.9875694635412455,0.001467382161687937,0.0003170967294614918,5000,1,block,1,gamma-exponential
6,0.7091647055022424,0.6678306896014523,0.04484984635061606,0.008288031974298435,5000,2,pca,1,gamma-exponential
7,0.5726861929730701,-0.025659653396390647,0.0926298905501247,0.025591467170455077,5000,2,full,1,gamma-exponential
8,0.9890917030343536,0.9878729036890515,0.0020187447605047636,0.00030258593685233233,5000,2,block,1,gamma-exponential
9,0.7088228494554327,0.6578798224069924,0.04592734056798625,0.008557965450732624,5000,3,pca,1,gamma-exponential
10,0.6346775089096964,0.19236980473018694,0.08086444975491014,0.02020246615301876,5000,3,full,1,gamma-exponential
11,0.9834513136844628,0.9876526363412147,0.002404176438998907,0.0003088631379269924,5000,3,block,1,gamma-exponential
12,0.7072725112093029,0.6738148593505205,0.04538523592599445,0.008291847369108825,5000,4,pca,1,gamma-exponential
13,0.554010529311125,-0.05971169609115501,0.0957531295945892,0.026938589605128037,5000,4,full,1,gamma-exponential
14,0.9925027309886624,0.9892858412739945,0.0014085624405510639,0.00027236117705285446,5000,4,block,1,gamma-exponential
15,0.7110747745030848,0.6515890532122617,0.04584123994657019,0.008623888662292903,5000,5,pca,1,gamma-exponential
16,0.5645304967090623,-0.1876679453044301,0.10151127787387278,0.02939722825161257,5000,5,full,1,gamma-exponential
17,0.9788250076793202,0.9786150725876683,0.004131895195640687,0.000529321006574224,5000,5,block,1,gamma-exponential
18,0.7072389384825404,0.668797084577078,0.04647159111414976,0.00836072156624688,5000,6,pca,1,gamma-exponential
19,0.6373475480614634,0.1266398426107782,0.08588213033901942,0.02204666916551992,5000,6,full,1,gamma-exponential
20,0.9835124494017711,0.9843295208733931,0.0026122161639987765,0.00039557777630050433,5000,6,block,1,gamma-exponential
