,r2_true,r2_samp,mse_true,mse_samp,n_samples,trial,method,dataset,kernel
0,0.7520897014290426,0.7598799091514115,0.05417992699078922,0.012232434135160444,5000,0,pca,2,matern
1,0.4976431331378875,-0.2721601257512076,0.06399402414642481,0.06480763393281279,5000,0,full,2,matern
2,0.9964216961326938,0.9951689243921038,0.0004886299443659409,0.000246109411198061,5000,0,block,2,matern
3,0.7571855080136873,0.7733097916371557,0.05332220737673829,0.011321746039220718,5000,1,pca,2,matern
4,0.637001864973462,0.2184693125409164,0.048815455131942916,0.03903252826477002,5000,1,full,2,matern
5,0.9973808267340353,0.996176477023606,0.00036285600253867055,0.0001909608554621345,5000,1,block,2,matern
6,0.7539387115233751,0.7650706430499914,0.055318324789461304,0.011615834485640351,5000,2,pca,2,matern
7,0.5893281302003259,0.03300803712138689,0.052481370336972345,0.047811898587593854,5000,2,full,2,matern
8,0.9969364155066488,0.9957031519922341,0.0004082506608584376,0.00021245312172195875,5000,2,block,2,matern
9,0.7365891269385526,0.7520580237672109,0.05077695220800573,0.012310919589967953,5000,3,pca,2,matern
10,0.4957793622325068,-0.04015477425430669,0.057443899829658744,0.05164620360589272,5000,3,full,2,matern
11,0.9972003339133276,0.9948627168081733,0.00039675052998467325,0.0002550785520322406,5000,3,block,2,matern
12,0.7582465586405459,0.7592349495784608,0.05334794816864279,0.011969566839945925,5000,4,pca,2,matern
13,0.6351863433949183,-0.15580715433885373,0.07241629254191813,0.05746062795960086,5000,4,full,2,matern
14,0.9931537983010319,0.9960348741964764,0.0007725547919825859,0.00019712511533951632,5000,4,block,2,matern
15,0.7562536535056076,0.7429221188702897,0.05232898133502026,0.012637857546285344,5000,5,pca,2,matern
16,0.573427183074792,-0.3026956673482546,0.0598757240612792,0.06404005742448028,5000,5,full,2,matern
17,0.995367985622404,0.995978884113398,0.000606385947520102,0.00019767663218890963,5000,5,block,2,matern
18,0.760240184259413,0.7664778508718812,0.05075213556152682,0.01157506319912098,5000,6,pca,2,matern
19,0.4720470071581124,-0.48060039666857435,0.0643996312823078,0.07338936896593816,5000,6,full,2,matern
20,0.9934525880242484,0.9947275111951493,0.0008027127831881699,0.0002613430518717999,5000,6,block,2,matern
21,0.7548621617645769,0.7622235863655423,0.05681646083264099,0.01176475699851852,5000,7,pca,2,matern
22,0.5189215845339894,0.1309614642659509,0.06183885933701664,0.04299849189826377,5000,7,full,2,matern
23,0.9932735338081669,0.9955208052721214,0.000815150250519047,0.00022162264421882226,5000,7,block,2,matern
24,0.7570867637924191,0.7552261589231719,0.05361152499891009,0.012105492433267187,5000,8,pca,2,matern
25,0.47214743135790166,-0.42991133421901817,0.07041417777485445,0.0707174457878374,5000,8,full,2,matern
26,0.997677843477097,0.9962316064845375,0.00032396446323119726,0.00018636901307066567,5000,8,block,2,matern
27,0.7591035041671788,0.7735844463112457,0.05103474084541027,0.01155981513577582,5000,9,pca,2,matern
28,0.6395445746311067,-0.06512138118932675,0.04657026902364042,0.054380567337862944,5000,9,full,2,matern
29,0.9944440215208002,0.9954081599060444,0.000779019979318937,0.00023443982427169658,5000,9,block,2,matern
30,0.7571243321633121,0.7662175970347986,0.053454976730514046,0.011911565701400883,5000,10,pca,2,matern
31,0.6275711970237922,-0.017131222829022574,0.055598059122534155,0.051824368446916604,5000,10,full,2,matern
32,0.9939604052930825,0.9945353383256758,0.0008137738094831986,0.00027843274662263276,5000,10,block,2,matern
33,0.7535961031576536,0.7678342800324949,0.05418189343066499,0.011775101158219432,5000,11,pca,2,matern
34,0.6066143661573845,-0.20373182830561554,0.059149211985442963,0.0610514939399792,5000,11,full,2,matern
35,0.9969297154802937,0.9951239736641186,0.0004060763198103534,0.0002473048276170216,5000,11,block,2,matern
36,0.750655948057696,0.7492620291423442,0.053486035029506544,0.012378332844803464,5000,12,pca,2,matern
37,0.5351615035152867,-0.02793672277589687,0.06440761616032244,0.050746773033191785,5000,12,full,2,matern
38,0.9940636500398385,0.9940961949879467,0.0007521494986399308,0.0002914567077337579,5000,12,block,2,matern
39,0.7516800127482002,0.7741557900307581,0.05450275263736251,0.011279530266425364,5000,13,pca,2,matern
40,0.6554577117187036,0.14076602490109003,0.04455305365531393,0.042913456268766276,5000,13,full,2,matern
41,0.996752705359952,0.9945749274164499,0.00044521063782474563,0.000270949033460018,5000,13,block,2,matern
42,0.7546231677527208,0.7397180535970498,0.05155425784830361,0.01278573359211806,5000,14,pca,2,matern
43,0.5242781175317326,-0.7678866869168919,0.06665338962221186,0.08684324253891242,5000,14,full,2,matern
44,0.9957756186648729,0.9901001032365268,0.0006204857777797615,0.00048630895978963646,5000,14,block,2,matern
45,0.7514959308724204,0.7559088832442553,0.05295464071293104,0.012484506450806747,5000,15,pca,2,matern
46,0.5403821620603518,0.015249995643175973,0.05920069385487703,0.05036692012895796,5000,15,full,2,matern
47,0.9949591516799448,0.9957791579978222,0.0005928908793173089,0.0002158830272252615,5000,15,block,2,matern
48,0.7544665864421537,0.7548032670551712,0.05418031104251932,0.012193018837578744,5000,16,pca,2,matern
49,0.5696876477059325,-0.1468133438150736,0.06494718417557661,0.05702815260377132,5000,16,full,2,matern
50,0.9959191892840519,0.994985838305089,0.0005136012724466915,0.00024934169092078254,5000,16,block,2,matern
51,0.7548257127059653,0.7605685205654508,0.05277970391667616,0.012158322017751935,5000,17,pca,2,matern
52,0.49713991379487416,0.20035282676817812,0.054247215627859204,0.04060605504212847,5000,17,full,2,matern
53,0.9968617511873136,0.994854616976107,0.0003966228843641224,0.0002612823671177568,5000,17,block,2,matern
54,0.7499242014166089,0.7550615251097208,0.054984910204504626,0.01201792629338212,5000,18,pca,2,matern
55,0.5462137760038293,-0.3833846567901089,0.06394069001602094,0.06787588127241605,5000,18,full,2,matern
56,0.9961079813346911,0.992958111965783,0.0005762174701919902,0.00034551081204935017,5000,18,block,2,matern
57,0.753448548143928,0.7578485884511597,0.05210734789956864,0.011712667667786258,5000,19,pca,2,matern
58,0.5324753636280875,-0.15493715310180112,0.06445530390547971,0.05586337475770687,5000,19,full,2,matern
59,0.9971325889594057,0.9961181770077616,0.00040466803173520887,0.0001877606343999747,5000,19,block,2,matern
60,0.7551916601467475,0.7651756901501585,0.052051068270018784,0.011413189805480901,5000,20,pca,2,matern
61,0.6433212567337637,0.3181655357675406,0.04560883350305093,0.03313926978505582,5000,20,full,2,matern
62,0.9942519565634883,0.9939348242677736,0.0007746623249910056,0.0002947863527407407,5000,20,block,2,matern
63,0.7494708730078745,0.7475830309378081,0.05296647047238342,0.012445211920334147,5000,21,pca,2,matern
64,0.47271792771422705,-0.2106460186020831,0.07938001026440539,0.059689910381181585,5000,21,full,2,matern
65,0.9952455600648827,0.9948582697763995,0.0006327854892544283,0.0002535087973983626,5000,21,block,2,matern
66,0.752790648249054,0.7615467799309924,0.052363115807359674,0.011889270986421868,5000,22,pca,2,matern
67,0.5265094320065221,-0.3436806042674323,0.06349192308111805,0.06699587792822158,5000,22,full,2,matern
68,0.9976691243676489,0.9965472336705693,0.000331450753256385,0.00017215483410756597,5000,22,block,2,matern
69,0.7476265697774446,0.7551262749516778,0.05589408694822001,0.012121445885664871,5000,23,pca,2,matern
70,0.4674856731272565,-0.3858802450130876,0.06656465197759988,0.06860218420993558,5000,23,full,2,matern
71,0.9963291431787931,0.9957243542596101,0.00045722588882295476,0.00021164789508625831,5000,23,block,2,matern
72,0.7621892581381458,0.7576413304421078,0.051993347030907765,0.012211395491356775,5000,24,pca,2,matern
73,0.4627934817161017,-0.16906033965102596,0.07036898082038577,0.05890384770134449,5000,24,full,2,matern
74,0.9965291848935691,0.9947119978931142,0.0004894653659552533,0.00026643934464612516,5000,24,block,2,matern
75,0.748757196448259,0.7511649633431547,0.055571782276464816,0.01240926738167867,5000,25,pca,2,matern
76,0.5338846526253459,-0.019148320810550956,0.06827776126206596,0.05082437017085973,5000,25,full,2,matern
77,0.9969628513948109,0.9961518148173497,0.0004145524141076662,0.00019190689344754453,5000,25,block,2,matern
78,0.7553170755130484,0.7501957817253974,0.05331386062190711,0.01233638460565086,5000,26,pca,2,matern
79,0.5479657998519086,-0.6845231048678913,0.06838308478007107,0.08318884701903458,5000,26,full,2,matern
80,0.9960613968034786,0.9950794182923487,0.0004969369844280396,0.00024299905281178745,5000,26,block,2,matern
81,0.7580747858679024,0.7531824554527997,0.05212445387564235,0.012130690068158903,5000,27,pca,2,matern
82,0.6190074969984569,-0.2119750883851692,0.05182615166774509,0.05956664950419851,5000,27,full,2,matern
83,0.9977194335392038,0.9965121302410179,0.00032865809578739615,0.0001714232556763152,5000,27,block,2,matern
84,0.75670920669261,0.7568856233910501,0.055025173369587364,0.011932348938840981,5000,28,pca,2,matern
85,0.659674609966411,-0.04636008344311593,0.052162351721120374,0.051356624011590406,5000,28,full,2,matern
86,0.9973081209131868,0.9963934180240868,0.00034989661779357746,0.00017701542464662023,5000,28,block,2,matern
